 240  18:39:33  22/08/03        doc op - C:\mythos\gpg4_sample\levels\objects_old.xml loaded from [objects_old.xml000]       554  C:\mythos\gpg4_sample\RTTIPropsDoc.cpp
 239  18:39:33  22/08/03         3d op - display view from [default camera]                                                  357  C:\mythos\gpg4_sample\3DView.cpp
 238  18:39:33  22/08/03       warning - unmatched property [Depth]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 237  18:39:33  22/08/03       warning - unmatched property [Height]                                                         984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 236  18:39:33  22/08/03       warning - unmatched property [Width]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 195  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CD860                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 194  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CD9C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 193  18:39:33  22/08/03     data file - class: CEditorFolder  id: 0x16CDAD0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 192  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CDC00                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 191  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CDD60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 190  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CDF30                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 189  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CC310                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 188  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CC470                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 187  18:39:33  22/08/03     data file - class: CEditorFolder  id: 0x16CC550                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 186  18:39:33  22/08/03     data file - class: CEditorCamera  id: 0x16CC110                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 185  18:39:33  22/08/03     data file - class: CEngineNode  id: 0x16CC7A0                                                   766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 184  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CCE60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 183  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CB1C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 182  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CB320                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 181  18:39:33  22/08/03     data file - class: CEditorNode  id: 0x16CB490                                                   766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 180  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CB6D0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 179  18:39:33  22/08/03     data file - editor root: scene root  id: 0x16CB6D0                                              810  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 178  18:39:33  22/08/03     data file - engine root: scene root  id: 0x16CC7A0                                              801  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 177  18:39:33  22/08/03        doc op - LevelData.xml                                                                       449  C:\mythos\gpg4_sample\RTTIPropsDoc.cpp
 176  18:39:33  22/08/03    props file - prop: Depth  type: U32                                                              586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 175  18:39:33  22/08/03    props file - prop: Height  type: U32                                                             586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 174  18:39:33  22/08/03    props file - prop: Width  type: U32                                                              586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 173  18:39:33  22/08/03    props file - prop: File  type: String                                                            586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 172  18:39:33  22/08/03    props file - class: CEngineTexture  base: CEngineObj                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 171  18:39:33  22/08/03    props file - class: CEditorTexture  base: CEditorObj                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 170  18:39:33  22/08/03    props file - prop: Material  type: Fct                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 169  18:39:33  22/08/03    props file - prop: Extent  type: Vect3D                                                          586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 168  18:39:33  22/08/03    props file - class: CEngineBox  base: CEngineNode                                                445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 167  18:39:33  22/08/03    props file - prop: TexOp  type: U32                                                              586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 166  18:39:33  22/08/03    props file - prop: Texture  type: SP                                                             586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 165  18:39:33  22/08/03    props file - prop: Culling  type: Bool                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 164  18:39:33  22/08/03    props file - prop: Z Test  type: Bool                                                            586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 163  18:39:33  22/08/03    props file - prop: Lighted  type: Bool                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 162  18:39:33  22/08/03    props file - prop: Diffuse  type: Vect4D                                                         586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 161  18:39:33  22/08/03    props file - class: CEngineMaterial  base: CEngineObj                                            445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 160  18:39:33  22/08/03    props file - class: CEditorSphere  base: CEditorNode                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 159  18:39:33  22/08/03    props file - class: CEditorBox  base: CEditorNode                                                445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 158  18:39:33  22/08/03    props file - class: CEditorMaterial  base: CEditorObj                                            445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 157  18:39:33  22/08/03    props file - prop: Material  type: Fct                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 156  18:39:33  22/08/03    props file - prop: Section Pts  type: U32                                                        586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 155  18:39:33  22/08/03    props file - prop: Radius  type: Float                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 154  18:39:33  22/08/03    props file - class: CEngineSphere  base: CEngineNode                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 153  18:39:33  22/08/03    props file - prop: PerspAllow  type: Bool                                                        586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 152  18:39:33  22/08/03    props file - prop: Rotations  type: Bool                                                         586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 151  18:39:33  22/08/03    props file - prop: Scale Ortho  type: Float                                                      586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 150  18:39:33  22/08/03    props file - prop: Perspective  type: Bool                                                       586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 149  18:39:33  22/08/03    props file - prop: Far  type: Float                                                              586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 148  18:39:33  22/08/03    props file - prop: Near  type: Float                                                             586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 147  18:39:33  22/08/03    props file - prop: Ratio  type: Float                                                            586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 146  18:39:33  22/08/03    props file - prop: FOV  type: Float                                                              586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 145  18:39:33  22/08/03    props file - prop: Initial Up  type: Vect3D                                                      586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 144  18:39:33  22/08/03    props file - prop: Up  type: Vect3D                                                              586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 143  18:39:33  22/08/03    props file - prop: Target  type: Vect3D                                                          586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 142  18:39:33  22/08/03    props file - class: CEngineCamera  base: CEngineNode                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 141  18:39:33  22/08/03    props file - class: CEditorFolder  base: CEditorObj                                              445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 140  18:39:33  22/08/03    props file - class: CEditorCamera  base: CEditorNode                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 139  18:39:33  22/08/03    props file - prop: Scale  type: Vect3D                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 138  18:39:33  22/08/03    props file - prop: Position  type: Vect3D                                                        586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 137  18:39:33  22/08/03    props file - prop: Rotation  type: Vect4D                                                        586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 136  18:39:33  22/08/03    props file - prop: Subnodes  type: Fct                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 135  18:39:33  22/08/03    props file - class: CEngineNode  base: CEngineObj                                                445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 134  18:39:33  22/08/03    props file - prop: Deleted  type: Bool                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 133  18:39:33  22/08/03    props file - class: CEngineObj  base: CPersistent                                                445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 132  18:39:33  22/08/03    props file - class: CEditorNode  base: CEditorObj                                                445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 131  18:39:33  22/08/03    props file - prop: EngineObj  type: SP                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 130  18:39:33  22/08/03    props file - prop: Renamable  type: Bool                                                         586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 129  18:39:33  22/08/03    props file - prop: DropTarget  type: Bool                                                        586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 128  18:39:33  22/08/03    props file - prop: Draggable  type: Bool                                                         586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 127  18:39:33  22/08/03    props file - prop: Deletable  type: Bool                                                         586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 126  18:39:33  22/08/03    props file - prop: Selected  type: Bool                                                          586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 125  18:39:33  22/08/03    props file - class: CEditorObj  base: CPersistent                                                445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 124  18:39:33  22/08/03    props file - prop: Subitems  type: Fct                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 123  18:39:33  22/08/03    props file - prop: EditorObj  type: SP                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 122  18:39:33  22/08/03    props file - prop: Prev Parent  type: String                                                     586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 121  18:39:33  22/08/03    props file - prop: Expanded  type: Bool                                                          586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 120  18:39:33  22/08/03    props file - prop: Deleted  type: Bool                                                           586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 119  18:39:33  22/08/03    props file - class: CEditorSceneItem  base: CPersistent                                          445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 118  18:39:33  22/08/03    props file - prop: Name  type: String                                                            586  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 117  18:39:33  22/08/03    props file - class: CPersistent  base: CRefCount                                                 445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 116  18:39:33  22/08/03    props file - class: CRefCount  base:                                                             445  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
