 452  17:04:29  25/08/03        doc op - C:\mythos\gpg4_sample\levels\pacman.xml loaded from [pacman.xml022]                 554  C:\mythos\gpg4_sample\RTTIPropsDoc.cpp
 451  17:04:29  25/08/03         3d op - display view from [default camera]                                                  357  C:\mythos\gpg4_sample\3DView.cpp
 406  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE5F0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 405  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE720                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 404  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE850                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 403  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE980                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 402  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DEAB0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 401  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DEBE0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 400  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DED10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 399  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DEE40                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 398  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DEF70                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 397  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD0B0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 396  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CA860                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 395  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CCBC0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 394  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C4830                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 393  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C55E0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 392  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C5CB0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 391  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C4AD0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 390  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD1E0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 389  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD310                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 388  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD440                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 387  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD570                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 386  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD6A0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 385  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD7D0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 384  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DD900                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 383  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DDA30                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 382  17:04:29  25/08/03     data file - class: CEngineTexture  id: 0x16CEA30                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 381  17:04:29  25/08/03     data file - class: CEditorTexture  id: 0x16C9290                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 380  17:04:29  25/08/03     data file - class: CEditorTexture  id: 0x16C6720                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 379  17:04:29  25/08/03     data file - class: CEngineMaterial  id: 0x16CA620                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 378  17:04:29  25/08/03     data file - class: CEditorTexture  id: 0x16DDC60                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 377  17:04:29  25/08/03     data file - class: CEngineMaterial  id: 0x16D9A40                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 376  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CD9B0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 375  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CDF60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 374  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C8530                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 373  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C8A90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 372  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CA1C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 371  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CAE50                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 370  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CB300                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 369  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C4620                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 368  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C1100                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 367  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C94A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 366  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C9E10                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 365  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CC8E0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 364  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CCF90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 363  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EF940                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 362  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EEA20                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 361  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EC030                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 360  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EC250                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 359  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DDD60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 358  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DDEC0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 357  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC040                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 356  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC1A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 355  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC300                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 354  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC460                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 353  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC5C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 352  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC720                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 351  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC880                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 350  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DC9E0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 349  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DCB40                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 348  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DCCA0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 347  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DCE00                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 346  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DCF60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 345  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB0D0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 344  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB230                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 343  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB390                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 342  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB4F0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 341  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB650                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 340  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB7B0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 339  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DB910                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 338  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DBA70                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 337  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DBBD0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 336  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DBD30                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 335  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DBE90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 334  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DBF90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 333  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA160                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 332  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA2C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 331  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA420                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 330  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA580                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 329  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA6E0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 328  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA840                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 327  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DA9A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 326  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DAB00                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 325  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DAC60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 324  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16DAD70                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 323  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CA7F0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 322  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CB9C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 321  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C7650                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 320  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C5570                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 319  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C5DF0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 318  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C5D30                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 317  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DAE70                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 316  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16DAF90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 315  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D9140                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 314  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D92A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 313  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D9400                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 312  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D9560                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 311  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D96C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 310  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D9820                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 309  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16D9930                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 308  17:04:29  25/08/03     data file - class: CEngineMaterial  id: 0x16ED1D0                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 307  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CA6A0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 306  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CB7D0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 305  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C7460                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 304  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C5090                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 303  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C5660                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 302  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C5B40                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 301  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5710                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 300  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5EF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 299  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3350                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 298  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3750                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 297  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3B50                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 296  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3EF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 295  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2770                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 294  17:04:29  25/08/03     data file - class: CEngineMaterial  id: 0x16C6320                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 293  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FD520                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 292  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FDAA0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 291  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FC060                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 290  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FC620                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 289  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FCB80                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 288  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FB140                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 287  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FB6C0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 286  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FBC60                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 285  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FA1B0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 284  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16FA660                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 283  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16F8680                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 282  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16F8C00                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 281  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16F1B50                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 280  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16F00B0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 279  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16F0640                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 278  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16F0C00                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 277  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16ED890                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 276  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16EDE20                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 275  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16EE4A0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 274  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16EF330                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 273  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16E3360                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 272  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16DE020                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 271  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16C6D20                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 270  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16C61E0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 269  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D6190                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 268  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D78D0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 267  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D7BC0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 266  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D7DE0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
